#mean	494314322.66076	1187667733.17741	6832.60577	0.31759	0.74373	40.69908	1176.68013	200934.43221	123.37324	22775.61040	99.51430	57.03399	0.00000	1254.94641	0.09854	2.88575	0.53899	0.98922	35.04962	65.99755	84.99513	42.20875	23.65651
#std	925907906.59816	1488355336.16419	15179.85922	0.47450	1.02523	141.11127	15218.33956	2584206.82734	1010.41165	259686.02454	68.52760	53.79563	1.00000	14956.39724	0.51441	16.99717	3.68181	0.10325	69.56956	147.83378	157.41665	111.44609	63.85981
#fields	label	ts	id.orig_h	id.resp_h	id.resp_p	proto	service	duration	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	orig_ttl	dest_ttl	land	pkts_count	min_IAT	max_IAT	mean_IAT	period	period_length0	period_length1	period_length2	period_length3	period_length4	
1	1611432404.134966	-0.3390758934268493	-0.676791532708484	0.1427150409635608	-0.669319752980183	0.24996296554372602	-0.2881080215323131	-0.07679419483720662	-0.07748312948158527	-0.11616378024987276	-0.08597925299738066	-0.518248138811137	0.11090133366787523	0.0	-0.08297094514450666	-0.19150231749362695	-0.1676980604478635	-0.14552242873526308	0.1043707151808659	-0.47010853349520143	-0.4464307742743767	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432404.611206	-0.3390757735445163	2.087740397955488	-0.10452045353476443	1.4381497221653157	-0.7254276889938714	-0.2884132770984985	-0.07377152604865471	-0.07322031278926333	-0.12210195407238203	-0.08770441322037556	2.268949906007114	-1.0601975199986533	0.0	-0.08029650427679837	-0.19155091674281507	-0.16975257889171488	-0.1463888511007082	0.1043707151808659	-0.2828050834775446	-0.2384269577397948	0.21701058898247147	-0.37873689274734307	-0.37044440483523966	
1	1611432404.731374	2.9570127167382285	1.3737096203732408	-0.45010995636935386	3.5456191973108147	-0.7254276889938714	0.1581581690061023	-0.07692561521931757	-0.07757832310053146	-0.12210195407238203	-0.08770441322037556	-1.4521783737240588	-1.0601975199986533	0.0	-0.08390699944820455	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.0189901869230824	2.443156988474619	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.282377	2.9570127167382285	1.3737096203732408	-0.4411507164941148	3.5456191973108147	-0.7254276889938714	0.15922846624154174	-0.077122745792484	-0.07767119492389359	-0.12210195407238203	-0.08770441322037556	-1.4521783737240588	-1.0601975199986533	0.0	-0.08390699944820455	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.0191056970538075	2.443376175043858	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.371008	2.9570127167382285	1.3737096203732408	-0.41407536657703203	1.4381497221653157	-0.7254276889938714	-0.2884175219756696	-0.07554570120715257	-0.07673086771235199	-0.12210195407238203	-0.08770441322037556	-1.4521783737240588	-1.0601975199986533	0.0	-0.08390699944820455	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.1792290149081812	-0.4464307742743767	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.538473	-0.3390759074671225	0.6607056983831124	-0.4466184878885622	1.4381497221653157	2.2007442746189207	-0.2884183723684251	-0.07725416617459495	-0.07772846588163357	-0.12210195407238203	-0.08770441322037556	1.5247242500608795	-1.0601975199986533	0.0	-0.08384013842651185	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	0.48098867162891057	-0.4464307742743767	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.538479	-0.3390759074671225	0.6607058367909207	-0.4466184878885622	1.4381497221653157	2.2007442746189207	-0.2878753824208392	-0.07725416617459495	-0.07772846588163357	-0.12111225843529715	-0.08719610708324313	2.195986606404542	1.2634113166412844	0.0	-0.08377327740481914	-0.042603937831089886	-0.16527053874139025	-0.1359868938117371	0.1043707151808659	0.4708061986191674	0.9419035752483207	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.538521	-0.3390759074671225	0.6607057306334755	-0.4466184878885622	1.4381497221653157	2.2007442746189207	-0.2884183723684251	-0.07725416617459495	-0.07772846588163357	-0.12210195407238203	-0.08770441322037556	-0.3139508999239353	-1.0601975199986533	0.0	-0.08384013842651185	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.7771735178584507	-0.4464307742743767	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432405.61829	-0.3390759074671225	0.16064883231366595	-0.4420071144233656	1.4381497221653157	3.176134929156518	-0.2884183723684251	-0.07725416617459495	-0.07772537015418816	-0.12210195407238203	-0.08770441322037556	-0.5328407987316514	-1.0601975199986533	0.0	-0.08384013842651185	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	-0.4505441477101301	-0.41509944431471524	-0.43989575578285184	-0.04624761520581636	-0.37044440483523966	
1	1611432405.709551	-0.3390759074671225	-0.2631520844926807	-0.4448398152662721	-0.669319752980183	-0.7254276889938714	-0.26712605430498104	-0.077122745792484	-0.07768512569739791	-0.12210195407238203	-0.08770441322037556	-0.5328407987316514	-1.0601975199986533	0.0	-0.08370641638312643	1.7535523852727257	-0.05187642907122468	0.1256286604200294	0.1043707151808659	-0.4030027821856694	-0.3041176682699868	-0.29491297694458346	0.5022318612843666	1.9906219697925416	
1	1611432406.206953	2.9570127167382285	1.3737096203732408	-0.41407536657703203	1.4381497221653157	-0.7254276889938714	-0.28841725268463037	-0.07554570120715257	-0.07673086771235199	-0.12210195407238203	-0.08770441322037556	-1.4521783737240588	-1.0601975199986533	0.0	-0.08390699944820455	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.1823182566337636	-0.4464307742743767	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
1	1611432406.284436	2.9570127167382285	1.3737096203732408	-0.45010995636935386	3.5456191973108147	-0.7254276889938714	0.16447188875933638	-0.07653135407298471	-0.0774018666361434	-0.12210195407238203	-0.08770441322037556	-1.4521783737240588	-1.0601975199986533	0.0	-0.08390699944820455	-0.19155480468275013	-0.16977846555347414	-0.14639238197555174	0.1043707151808659	1.0191061332809963	2.44337700280797	-0.5399373881846905	-0.37873689274734307	-0.37044440483523966	
